cantonese,english,beam
你看,Look.,
笑死我了,- That kills me. -,
"來整蠱他吧,讓他見識最佳拍檔","Come on, we'll fix him. Let's give him the old one-two.",
你還不會用腦嗎?,Won't you ever grow up?,
喂喂,- What? - Yoo-hoo!,
快點給我滾,"Come on, get out of here.",
"走開,快滾",Beat it. Scram!,
自作聰明的傢伙,Doggone smart alecks.,
很好,"Oh, yeah?",
再見,Yoo-hoo!,
"捉到了,你們這些小混蛋,快滾","Gotcha! Now, you little punks, scram out of here.",
永遠不要回來,And stay out!,
"喂,搞甚麼?","Hey, what the...?",
"喂,停手,你... 一起狙擊他吧,繼續作戰計劃","Hey, cut it out, you little... Come on, let's get going.",
來吧,Come on.,
給我等著瞧...,Wait till I...,
我忍無可忍了,So... that's the last straw!,
黛絲,"- Oh, Daisy!",
唐老鴨,Donald!,
可憐的小寶貝,"Oh, you poor little darlings.",
唐老鴨對你們很壞嗎?,Was Donald mean to you?,
那個大壞蛋做了甚麼?,What did the big bad man do?,
"停,我聽夠了",Stop! I've heard enough.,
走好不送了,Oh! 23 skidoo to you.,
可是黛絲...,But Daisy...,
謝謝,Thank you.,
為甚麼所有該死的...,"Why, of all the doggone...",
可惡,"Aw, rats!",
誰有最溫和可愛的個性,Who's got the sweetest disposition?,
來猜猜吧,"One guess, guess who?",
誰從來不跟人吵架,"Who never, never starts an argument?",
誰從來不發脾氣,Who never shows a bit of temperament?,
誰永遠是對的,Who's never wrong but always right?,
對了,DONALD: Yeah?,
誰從沒想過要跟人吵架,Who'd never dream of starting a fight?,
是嗎?,DONALD: That so?,
《花栗鼠水手》 誰總是很倒楣 就是...,Who gets stuck with all the bad luck?,
唐老鴨,No one... - ...but Donald Duck!,
沒錯,- DONALD: Yeah!,
"-哎呀,我好餓呀","- Gosh, but I'm hungry.",
-我也是,"- Me, too.",
"唏,望望上面",Hey! Look up there!,
"是我先看到,放手,給我呀",I saw it first. Let go! Let me have it!,
"-給我,那是我的","- Let me at it, it's mine! - I'll get it.",
"唏,停手",Hey! Cut it out!,
看你做的好事,"Now, look what you've done.",
"唏,望望上面",Hey! Look up there!,
天啊!,"BOTH: Oh, boy, oh, boy! Oh, boy, oh, boy!",
哎呀!,"Oh, boy, oh, boy!",
"唏,等陣,傻仔,你跌落水了","Hey! Wait a minute, stupid. That's water.",
你不知道自己無法在水上走嗎?,Don't you know you can't walk on water?,
那我們怎麼拿它?,Then how are we ever gonna get 'em? Hey!,
"唏,你看",Look!,
"我們有辦法了,來吧",Here's how we'll do it! Come on!,
今日正好適合出海,Well... . Nice day for a sail.,
搞什麼...,What the...,
可惡!,Doggone!,
我隻船呀!,My boat!,
"唏,你看我找到什麼,來,試戴看看","Hey! Look what I found! Here, try it on.",
我走著走著 啦啦啦,As I was a-walking la la la la,
喂 唏 迷倒那位男子,"Wey, hey, blow the man down",
年輕貌美的姑娘 啦啦啦,A pretty young damsel la la la la la,
給我點時間 迷倒那位男子,Give me some time to blow the man down,
聽住,"Now, hear this.",
"在甲板上集合,封住船艙的洞口","Muster up at quarterdeck, batten down the holes!",
"張起風帆,索緊船尾,清洗甲板","Rig the jib, belay the poop and swab the deck!",
這湍急的水流真可惡,Goll darn these mighty great waters!,
"可惡的海盜,等我收拾你們吧",Doggone pirates! I'll fix you!,
你怎麼駛船不帶眼?,"Well, why didn't you look where you were going?",
"快去固定水桶,我是船長",Belay the scuttlebutt. I'm the skipper.,
回去你的艙,Get to your quarters!,
手動水泵,Man the pump!,
有人跌落水,Man overboard!,
"可惡,你們兩個海盜","Doggone it, you pirates!",
等我好好收拾...,Wait till I get my hands on...,
所有人到甲板集合,All hands on deck!,
"-收到,船長","- Aye, aye, sir!",
"-喂,等陣",- Hey! Wait!,
-不要上去,- Don't go up there!,
-我捉到你了,- I got you!,
快給我回來,Get back here!,
喂喂!,"Ahoy! Chip, ahoy!",
"唏,大鼻,醒醒呀,你看看",Hey! Dale! Get up!,
-牠要來抓我們了,- He's coming after us!,
"-放心,船長","- Don't worry, Skipper.",
"唏,大鼻,你看牠在做什麼","Hey, Dale, look what he's doing now.",
"船長,冷靜點","Calm yourself, Captain.",
"大鼻,快醒醒,牠正划艇過來","Dale, come on, quick! He's coming in on a rowboat.",
"別擔心,一切都在掌握之中","Fear not, the situation is well in hand.",
"唏,起身呀,牠來了","Hey, get up, here he comes!",
"唏,牠正從3點鐘方向過來",Hey! He's coming in at three o'clock!,
"你看,繩結","Look, knots.",
我要撞沉牠們,I'll ram them!,
"我要將牠們石沉大海,我...",I'll scuttle them. I'll...,
天啊...,"Oh, boy, oh, boy!",
簡直滿載而歸,What a cargo.,
"大鼻,你看牠在做什麼",Dale! Look what he's doing now.,
毕小姐，早,"Good morning, Miss Prescott.",
毕小姐，早,"Good morning, Miss Prescott.",
听着,Now hear this!,
这一期我不能这样子发行,I simply cannot release this issue the way it is!,
优秀创刊60年，这期最差劲,"In the 60 years of Quality magazine, this hits rock bottom.",
若我通过它，就有负美国的女性,"If I let this go through, I will have failed the American woman.",
毕小姐，别这样说,"No, Miss Prescott, don't say that!",
美国女性光着身子站着... 等着我提点她们该穿什么衣服,"The great American woman, who stands out there naked, waiting for me to tell her what to wear.",
