cantonese,english,greedy,beam
你看,Look.,You see.,You see.
笑死我了,- That kills me. -,It made me laugh.,It made me laugh.
"來整蠱他吧,讓他見識最佳拍檔","Come on, we'll fix him. Let's give him the old one-two.",Get him a job and let him see the best shot.,Let's fix him up and show him the best shot.
你還不會用腦嗎?,Won't you ever grow up?,You're not going to use your brain?,Aren't you going to use your brain?
喂喂,- What? - Yoo-hoo!,"Oh, my God.","Oh, my God."
快點給我滾,"Come on, get out of here.",Give me a round.,Give it to me.
"走開,快滾",Beat it. Scram!,Go ahead and roll.,Get out of the way.
自作聰明的傢伙,Doggone smart alecks.,A self-righteous asshole.,A self-righteous asshole.
很好,"Oh, yeah?",That's good.,That's good.
再見,Yoo-hoo!,See you again.,See you again.
"捉到了,你們這些小混蛋,快滾","Gotcha! Now, you little punks, scram out of here.","Get it, you little bastards, get out of here.","Get it, you little assholes, get out of here."
永遠不要回來,And stay out!,Never come back.,Don't ever come back.
"喂,搞甚麼?","Hey, what the...?",What are we doing?,"Hey, what's going on?"
"喂,停手,你... 一起狙擊他吧,繼續作戰計劃","Hey, cut it out, you little... Come on, let's get going.","Hold your hands, you... shoot him and keep planning the war.","Okay, hold your hands, you... shoot him, and continue the war plan."
來吧,Come on.,"Come on, you know.",Come on now.
給我等著瞧...,Wait till I...,Let me wait for you...,Let me wait for you...
我忍無可忍了,So... that's the last straw!,I couldn't bear it.,I couldn't bear it.
黛絲,"- Oh, Daisy!",Silk is silk.,The silk.
唐老鴨,Donald!,Don is a great man.,Don't worry about it.
可憐的小寶貝,"Oh, you poor little darlings.",The poor little baby.,Poor little baby.
唐老鴨對你們很壞嗎?,Was Donald mean to you?,Is Don Lao-Jin mean to you?,Is Don Quixote mean to you?
那個大壞蛋做了甚麼?,What did the big bad man do?,What did that big bad guy do?,What did that big bad guy do?
"停,我聽夠了",Stop! I've heard enough.,"Stop, I hear enough.","Stop, I hear enough."
走好不送了,Oh! 23 skidoo to you.,I'm not going to.,I didn't give it to you.
可是黛絲...,But Daisy...,But silk is...,But silk...
謝謝,Thank you.,Thank you.,Thank you.
為甚麼所有該死的...,"Why, of all the doggone...",Why the hell...,Why the hell...
可惡,"Aw, rats!",It's a shame.,It's awful.
誰有最溫和可愛的個性,Who's got the sweetest disposition?,Who has the most gentle and sweet personality?,"Who has the kindest, sweetest personality?"
來猜猜吧,"One guess, guess who?",So guess what.,Come and guess.
誰從來不跟人吵架,"Who never, never starts an argument?",Who never quarrels with anyone?,Who has never fought with anyone?
誰從來不發脾氣,Who never shows a bit of temperament?,Who has never been angry?,Who has never been angry?
誰永遠是對的,Who's never wrong but always right?,Who is always right?,Who is always right?
對了,DONALD: Yeah?,Right.,That's right.
誰從沒想過要跟人吵架,Who'd never dream of starting a fight?,Who has ever thought of arguing with someone?,Who has ever thought of arguing with someone?
是嗎?,DONALD: That so?,Is that right?,Is that right?
《花栗鼠水手》 誰總是很倒楣 就是...,Who gets stuck with all the bad luck?,"The roached roaster sailor, who was always a little bit of a...","The rooster-mouse seamstress, who's always been very shallow, is..."
唐老鴨,No one... - ...but Donald Duck!,Don is a great man.,Don't worry about it.
沒錯,- DONALD: Yeah!,That's right.,That's right.
"-哎呀,我好餓呀","- Gosh, but I'm hungry.","- Oh, I'm really hungry.","- Oh, I'm really hungry."
-我也是,"- Me, too.",- I'm too.,- Me too.
"唏,望望上面",Hey! Look up there!,"Well, look up.","Well, look at the top."
"是我先看到,放手,給我呀",I saw it first. Let go! Let me have it!,"I saw it first, and I gave it to you.","I'm the first one to see it, let it go, give it to me."
"-給我,那是我的","- Let me at it, it's mine! - I'll get it.",- Give it to me.,"- Give it to me, it's mine."
"唏,停手",Hey! Cut it out!,"Oh, stop it.",Hold it right there.
看你做的好事,"Now, look what you've done.",Look at the good you've done.,Look at the good you've done.
"唏,望望上面",Hey! Look up there!,"Well, look up.","Well, look at the top."
天啊!,"BOTH: Oh, boy, oh, boy! Oh, boy, oh, boy!","Oh, my God!","Oh, my God!"
哎呀!,"Oh, boy, oh, boy!","Oh, my God!","Oh, my God!"
"唏,等陣,傻仔,你跌落水了","Hey! Wait a minute, stupid. That's water.","Hey, wait, you're in the water.","Hey, wait a minute, kid, you're in the water."
