cantonese,english,greedy,beam
我要去瞓覺喇。,I have to go to sleep.,I'm going to go to the temple.,I'm going to go to the monastery.
我話唔定做一陣就會放棄，走去瞓晏覺算。,I may give up soon and just nap instead.,I'm going to say I will give up a fight and go to the theater.,"I said I was going to do a series I would give up, go away to see what I'm thinking."
我不嬲都鍾意啲神秘啲嘅人物。,I always liked mysterious characters more.,I'm not a big fan of mysterious characters.,I don't think I've ever heard of a mysterious person.
雖然佢講咗對唔住，但係我都仲係好嬲。,"Even though he apologized, I'm still furious.","I'm not sure if I can do it, but I have a good relationship with my brother.","I'm not sure if we're going to live together, but we have a good relationship."
我唯有係等。,I can only wait.,I'm only a single one.,I'm the only one who can wait.
我愛你。,I love you.,I love you.,I love you.
聽日佢會喺月球著陸。,"Tomorrow, he will land on the moon.",The Moon is the Earth's moon.,It is believed that the Moon will land on Earth.
聽日佢會喺月球降落。,"Tomorrow, he will land on the moon.",The Moon is the Sun's Moon.,The Moon will fall from the Moon.
「老實講吖，其實我畏高㗎。」「正一無膽鬼！」,"""To tell you the truth, I am scared of heights."" ""You are a coward!""","""I am a very proud man, and I am very happy with my life.""","""I'm so proud of you that I'll never be able to see you again."""
「電話響喎。」「我聽吖。」,"""The phone is ringing."" ""I'll get it.""","""I'm listening to the phone.""","""I'm listening to the sound of the telephone."""
「唔該晒你喎。」「唔使唔該。」,"""Thank you for helping me."" ""Don't mention it.""","""I'm going to see you,"" he said. ""You're going out.""","He said, ""I'm going to see you, and you'll see me."""
「你做咩唔去嘅？」「因為我唔想去囉。」,"""Why aren't you going?"" ""Because I don't want to.""","""You do what you want to do?"" ""Because I want you to go.""","""You do what you want to do?"" ""Because I want you to go."""
民主係最差嘅政治制度，除咗其他嘗試過嘅之外。,"Democracy is the worst form of government, except all the others that have been tried.","The most poor political system in the world is democracy, except for other attempts.","Democracy is the worst political system, apart from other tried and tested."
喂，唔錯喎屌你！,Damn! It's not bad!,"""Hey, I'm sorry you're missing me!""","Hey, I'm sorry I missed you!"
你識唔識講意大利文㗎？,Do you speak Italian?,You know Italian?,You know nothing about Italian.
你有冇安全套呀？,Do you have a condom?,You have a safety belt?,You have a safety belt?
但係宇宙係無限㗎。,But the universe is infinite.,The universe is infinite.,The universe is infinite.
離呢到遠唔遠㗎？,Is it far from here?,"""Where is the farthest and fartherest?",How far and how far did you go?
擘大口！,Open your mouth!,"""Break the Big Bang!""",I've got a big mouth!
我阿爸阿媽成日為埋啲芝麻綠豆嘅嘢喺度嗌交，真係煩到死呀！,My parents keep arguing about stupid things. It's so annoying!,"My parents and mothers are always buried in the green green grass of the grasshopper every day, and they are all together, I'm so worried I die!","My parents and grandparents spend the whole day buried in the grass green beans, and they're getting married every day, I'm really worried to die!"
我同你講嘢嗰陣望住我！,Look at me when I talk to you!,I'm with you and you're looking at me!,I'm with you and you're looking at me!
聖誕節快樂！,Merry Christmas!,Happy Christmas and Happy New Year!,Happy Christmas and Happy New Year!
「你攰做咩唔去瞓覺呀？」「因為我而家去瞓呢，就會早得濟醒㗎喇。」,"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""You are not going to know what you are doing?"" ""Because I go to the house, I will be awake soon.""","""What do you think you're doing?"" ""Because I'm going to my home, I will be able to wake up early."""
我哋可以回顧過去，但係唔可以改變過去；我哋可以改變未來，但係唔可以預知未來。,"The past can only be known, not changed. The future can only be changed, not known.","I can revisit the past, but I cannot change the former; I could change future, and I couldn't predict future.","I can look back on the past, but I cannot change it; I could change the future, and I couldn't foresee it."
如果一個宇宙簡單到可以俾人明白，咁就正正因為佢太過簡單，所以產生唔到明白到佢嘅意識體。,Any universe simple enough to be understood is too simple to produce a mind able to understand it.,"If a universe is so simple that it can be understood, it is because it's too simple, and so it creates the consciousness that can understand it.","If a universe is so simple that it can be understood, it is precisely because it's too simple, so it creates the possibility of understanding its consciousness."
啲人點解要去睇戲嘅？,Why do people go to the movies?,I'm going to have to go to the theatre.,You're going to have to go to the theatre?
架車撞咗埋埲牆度。,The car crashed into the wall.,The car crashed into the wall.,The car crashed into the wall.
噉嘅字典至少都應該有兩句「雪櫃」嘅例句啩。,"In a dictionary like this one there should be at least two sentences with ""fridge"".","There should be at least two sentences in the Chinese dictionary of ""Snow Box"" as example sentence.","There should be at least two sentences in the Chinese dictionary of the word ""snow booth"" as an example sentence."
我已經決定咗喇。,I made my decision.,I have decided to go to the mountain.,I've already decided I want to go.
我哋有一位教宗。,We have a Pope.,I have a priest.,I have a priest.
你可唔可以晏啲再打電話嚟呀？,"Could you call again later, please?",You can't call again?,"You can't call again, can you?"
我已經三日無瞓過喇，真係攰到死呀！,I can't take it anymore! I haven't slept for three days!,"I have been dead for three days, and I'm really dying!","I've been dead for three days, and I really want to die!"
喂，睇吓，有隻三個頭嘅馬騮呀！,"Hey, look, a three-headed monkey!","""Hello, the fox, there are three horses and three heads of horse!",There are three heads of horses!
鳩到講唔出口嘅說話就會變成歌詞。,Anything that is too stupid to be spoken is sung.,"The song is written by the singer, and the lyrics are translated into songs.",The song's lyrics are translated into songs.
我哋已經玩完㗎喇，俾返隻戒指我啦！,It's over between us. Give me back my ring!,"I've been through the whole day, and I want to get a ring back!","I've had a lot of fun, and you're gonna give me a ring!"
我聽日去圖書館溫書。,"Tomorrow, I'm going to study at the library.",I'll go to library and read books.,I'll go to the library and read books.
對佢嚟講，「肚餓」係一個抽象嘅概念，因為佢根本就無試過肚餓。,"To him, hunger was an abstract concept; he always had enough to eat.","I have to say that ""being hungry"" is an abstract concept, because I never tried to be hunched.","It is an abstract concept, because he has never tried to overeat."
我唔會輸嘅！,I won't lose!,I'm gonna lose!,I'm gonna lose!
我想打乞嗤呀⋯⋯俾張紙巾我吖。,I think I'm gonna sneeze. Give me a tissue.,I think I'm going to beg beg ... ... Bis Chang paper towel I hk.,I think I'm going to beg and beg ... ... Bis Chang paper towel I hk.
千祈唔好自殺。,Never try to die.,I'm not suicidal.,Thousands wished to commit suicide.
幾時食飯呀？好鬼肚餓呀！,When are we eating? I'm hungry!,When do you eat? You are hungry!,When do you eat? You are hungry!
"""多謝"" ""唔使唔該。""","""Thank you."" ""You're welcome.""","""I'm sorry"" ""You're not right.""","""I don't think I'll be able to do that."""
"""多謝""。 ""唔使唔該。""","""Thank you."" ""You're welcome.""","""I'm sorry."" ""You're not right.""","""I'm sorry."" ""Well, I'll be fine."""
"""多謝你。"" ""唔使客氣。""","""Thank you."" ""You're welcome.""","""I'm sorry."" ""You're not a guest.""","""Thank you very much."" ""I'm sorry."""
兔仔對耳好長、條尾好短。,A rabbit has long ears and a short tail.,The ears of rabbits are long and the tail is short.,The ears of rabbits are long and the tail is short.
