cantonese,english
我要去瞓覺喇。,I have to go to sleep.
我話唔定做一陣就會放棄，走去瞓晏覺算。,I may give up soon and just nap instead.
我不嬲都鍾意啲神秘啲嘅人物。,I always liked mysterious characters more.
雖然佢講咗對唔住，但係我都仲係好嬲。,"Even though he apologized, I'm still furious."
我唯有係等。,I can only wait.
我愛你。,I love you.
聽日佢會喺月球著陸。,"Tomorrow, he will land on the moon."
聽日佢會喺月球降落。,"Tomorrow, he will land on the moon."
「老實講吖，其實我畏高㗎。」「正一無膽鬼！」,"""To tell you the truth, I am scared of heights."" ""You are a coward!"""
「電話響喎。」「我聽吖。」,"""The phone is ringing."" ""I'll get it."""
「唔該晒你喎。」「唔使唔該。」,"""Thank you for helping me."" ""Don't mention it."""
「你做咩唔去嘅？」「因為我唔想去囉。」,"""Why aren't you going?"" ""Because I don't want to."""
民主係最差嘅政治制度，除咗其他嘗試過嘅之外。,"Democracy is the worst form of government, except all the others that have been tried."
喂，唔錯喎屌你！,Damn! It's not bad!
你識唔識講意大利文㗎？,Do you speak Italian?
你有冇安全套呀？,Do you have a condom?
但係宇宙係無限㗎。,But the universe is infinite.
離呢到遠唔遠㗎？,Is it far from here?
擘大口！,Open your mouth!
我阿爸阿媽成日為埋啲芝麻綠豆嘅嘢喺度嗌交，真係煩到死呀！,My parents keep arguing about stupid things. It's so annoying!
我同你講嘢嗰陣望住我！,Look at me when I talk to you!
聖誕節快樂！,Merry Christmas!
「你攰做咩唔去瞓覺呀？」「因為我而家去瞓呢，就會早得濟醒㗎喇。」,"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early."""
我哋可以回顧過去，但係唔可以改變過去；我哋可以改變未來，但係唔可以預知未來。,"The past can only be known, not changed. The future can only be changed, not known."
如果一個宇宙簡單到可以俾人明白，咁就正正因為佢太過簡單，所以產生唔到明白到佢嘅意識體。,Any universe simple enough to be understood is too simple to produce a mind able to understand it.
啲人點解要去睇戲嘅？,Why do people go to the movies?
架車撞咗埋埲牆度。,The car crashed into the wall.
噉嘅字典至少都應該有兩句「雪櫃」嘅例句啩。,"In a dictionary like this one there should be at least two sentences with ""fridge""."
我已經決定咗喇。,I made my decision.
我哋有一位教宗。,We have a Pope.
你可唔可以晏啲再打電話嚟呀？,"Could you call again later, please?"
我已經三日無瞓過喇，真係攰到死呀！,I can't take it anymore! I haven't slept for three days!
