cantonese,english,greedy,beam
我要去瞓覺喇。,I have to go to sleep.,I have to go to bed.,I have to go to bed.
我話唔定做一陣就會放棄，走去瞓晏覺算。,I may give up soon and just nap instead.,"I said, ""I'm going to give up and go to bed"".",I told him I'd give up and go to bed.
我不嬲都鍾意啲神秘啲嘅人物。,I always liked mysterious characters more.,I like mysterious characters.,I like more mysterious characters.
雖然佢講咗對唔住，但係我都仲係好嬲。,"Even though he apologized, I'm still furious.","She apologized, but I was still a little bit of a bitch.","She apologized, but I was fine."
我唯有係等。,I can only wait.,I was just waiting.,I was just waiting.
我愛你。,I love you.,I love you.,I love you.
聽日佢會喺月球著陸。,"Tomorrow, he will land on the moon.",It will land on the moon tomorrow.,It will land on the moon tomorrow.
聽日佢會喺月球降落。,"Tomorrow, he will land on the moon.",It'll land on the moon tomorrow.,It will land on the moon tomorrow.
「老實講吖，其實我畏高㗎。」「正一無膽鬼！」,"""To tell you the truth, I am scared of heights."" ""You are a coward!""","""Honestly, I'm scared of being high"". ""No more cowards!""","""Honestly, I'm really scared"". ""Don't be a coward!"""
「電話響喎。」「我聽吖。」,"""The phone is ringing."" ""I'll get it.""","""The phone rings"". ""I hear you"".","""The phone rings"". ""I hear you""."
「唔該晒你喎。」「唔使唔該。」,"""Thank you for helping me."" ""Don't mention it.""","""Thank you for your help"". ""No, thank you"".","""Thank you very much"". ""No, thank you""."
「你做咩唔去嘅？」「因為我唔想去囉。」,"""Why aren't you going?"" ""Because I don't want to.""","""What are you doing wrong?"" ""Because I don't want to go to the bathroom"".","""What are you not doing?"" ""Because I don't want to go""."
民主係最差嘅政治制度，除咗其他嘗試過嘅之外。,"Democracy is the worst form of government, except all the others that have been tried.","Democracy is the worst political system, except for the ones we've tried.",Democracy is the worst political system I've ever tried.
喂，唔錯喎屌你！,Damn! It's not bad!,"Oh, that's good to see you!","Oh, good to see you!"
你識唔識講意大利文㗎？,Do you speak Italian?,Can you speak Italian?,Can you speak Italian?
你有冇安全套呀？,Do you have a condom?,Do you have a condom?,Do you have a condom?
但係宇宙係無限㗎。,But the universe is infinite.,But the universe is infinite.,But the universe is infinite.
離呢到遠唔遠㗎？,Is it far from here?,Is it far from here?,Is it far from here?
擘大口！,Open your mouth!,Shut up!,Shut up!
我阿爸阿媽成日為埋啲芝麻綠豆嘅嘢喺度嗌交，真係煩到死呀！,My parents keep arguing about stupid things. It's so annoying!,My parents were always fighting over these green beans and it was so annoying.,"My mom and dad used to mess around with these green beans, and it was really annoying."
我同你講嘢嗰陣望住我！,Look at me when I talk to you!,Look at me when I talk to you!,Look at me when I'm talking to you!
聖誕節快樂！,Merry Christmas!,Merry Christmas!,Merry Christmas!
「你攰做咩唔去瞓覺呀？」「因為我而家去瞓呢，就會早得濟醒㗎喇。」,"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""Why don't you go to sleep?"" ""Because I'm going to bed, I will wake up early"".","""Why don't you go to sleep?"" ""Because I'm going to bed, and I will wake up early""."
我哋可以回顧過去，但係唔可以改變過去；我哋可以改變未來，但係唔可以預知未來。,"The past can only be known, not changed. The future can only be changed, not known.","We can look back on the past, but we can't change it; we could change the future, and we couldn' t predict the next.",We can look back on the past but can't change it; we can change the future but cannot predict it.
如果一個宇宙簡單到可以俾人明白，咁就正正因為佢太過簡單，所以產生唔到明白到佢嘅意識體。,Any universe simple enough to be understood is too simple to produce a mind able to understand it.,"If a universe is simple enough to understand, it's because it is too simple to comprehend its consciousness.","If a universe is simple enough to be understood, it is because it's too simple to understand its conscious body."
啲人點解要去睇戲嘅？,Why do people go to the movies?,Why do people go to movies?,Why do people go to the movies?
架車撞咗埋埲牆度。,The car crashed into the wall.,The car hit the wall.,The car hit the brick wall.
噉嘅字典至少都應該有兩句「雪櫃」嘅例句啩。,"In a dictionary like this one there should be at least two sentences with ""fridge"".","There should be at least two examples of ""snow box"" in this dictionary.","This dictionary should have at least two examples of ""snow box""."
我已經決定咗喇。,I made my decision.,I've already decided.,I've made up my mind.
我哋有一位教宗。,We have a Pope.,We have a Pope.,We have a Pope.
你可唔可以晏啲再打電話嚟呀？,"Could you call again later, please?",Could you please call me back?,Could you please call me back?
我已經三日無瞓過喇，真係攰到死呀！,I can't take it anymore! I haven't slept for three days!,"I haven't slept in three days, and I'm really sick of it!","I haven't slept in three days, and I'm really sick of it!"
喂，睇吓，有隻三個頭嘅馬騮呀！,"Hey, look, a three-headed monkey!","Oh, look at that three-headed horse!","Oh, look, there's a three-headed horse!"
鳩到講唔出口嘅說話就會變成歌詞。,Anything that is too stupid to be spoken is sung.,The pigeon's speech becomes the lyrics.,The pigeon's speech becomes a lyric.
我哋已經玩完㗎喇，俾返隻戒指我啦！,It's over between us. Give me back my ring!,"We're done playing, give me back the ring!","We're done playing, give me the ring back!"
我聽日去圖書館溫書。,"Tomorrow, I'm going to study at the library.",I'm going to the library tomorrow to read.,I'm going to the library tomorrow to read.
對佢嚟講，「肚餓」係一個抽象嘅概念，因為佢根本就無試過肚餓。,"To him, hunger was an abstract concept; he always had enough to eat.","For him, ""hunger"" is an abstract concept, because he's never been hungry.","For him, ""hunger"" is an abstract concept, because he's never been hungry."
我唔會輸嘅！,I won't lose!,I will not lose!,I won't lose!
我想打乞嗤呀⋯⋯俾張紙巾我吖。,I think I'm gonna sneeze. Give me a tissue.,I want to ask a beggar to give me a towel.,I wanted to ask a beggar to give me a towel.
千祈唔好自殺。,Never try to die.,Pray not to kill yourself.,Pray that you don't kill yourself.
幾時食飯呀？好鬼肚餓呀！,When are we eating? I'm hungry!,When are you going to eat? I'm hungry!,When are you going to eat? I'm so hungry!
"""多謝"" ""唔使唔該。""","""Thank you."" ""You're welcome.""","""Thank you"". ""No, thank you.","""Thank you"", ""No, thank you""."
"""多謝""。 ""唔使唔該。""","""Thank you."" ""You're welcome.""","""Thank you"". ""No, thank you very much"".","""Thanks"". ""No, thank you""."
"""多謝你。"" ""唔使客氣。""","""Thank you."" ""You're welcome.""","""Thank you"". ""No need to be so hospitable"".","""Thank you"". ""No need to be rude""."
兔仔對耳好長、條尾好短。,A rabbit has long ears and a short tail.,The puppies have long ears and short tails.,They have long ears and short tails.
如果你借廿蚊俾人，之後就再見唔到佢，咁嗰廿蚊應該係值得俾嘅。,"If you lend someone $20 and never see that person again, it was probably worth it.","If you borrow $20 from someone and never see them again, then that $20 should be worth it.","If you borrow $20 from someone and never see them again, that $20 should be worth it."
屌，邊條仆街半夜三更打俾我呀？！,"Holy crap, who's the asshole who dares call me in the middle of the night?!","Hey, which one of the streets is calling me at midnight?","Oh, which one of the streets is calling me at midnight?"
你仲喺度諗緊生命嘅意義呀？,You are still asking yourself what the meaning of life is?,Are you still wondering about the meaning of life?,Are you still wondering about the meaning of life?
睇吓個用戶名同密碼有無填錯。,Check that your username and password are written correctly.,See if the username and password is correct.,Let's see if the username and password is wrong.
唔好唔記得我哋呀！,Don't forget about us!,Don't forget about us!,Don't forget about us!
西班牙俾貼士要俾幾多到㗎？,How much do you leave for a tip in Spain?,How much do Spanish adders pay?,How much does Spain pay for stickers?
我哋唔迫自己開心嘅話，應該都會幾開心吖。,If only we'd stop trying to be happy we could have a pretty good time.,We should be happier if we don't force ourselves to be happy.,We should be happier if we don't force ourselves to be happy.
人類可以穿越時空，速度仲好快添，每秒一秒。,We can travel through time. And we do at the remarkable rate of one second per second.,"We can travel through space and time at a faster rate, every second.","We can travel through space and time at a faster rate, every second."
如果我哋知道自己做緊啲咩，咁就唔叫做研究啦，係咪先？,"If we knew what we were doing, it wouldn't be called research, would it?","If we know what we're doing, we don't call it research, right?","If we know what we're doing, don't call it research, right?"
放低手！,Put your hands down!,Put your hands down!,Put your hands down!
唔重要㗎！,It's not important.,It doesn't matter!,It doesn't matter!
我一路期待緊㗎喇！,I was expecting it!,I've been waiting for you!,I've been waiting for you!
唔好唔記得張飛。,Don't forget the ticket.,Don't forget your flight.,Don't forget your ticket.
你好靚呀。,How beautiful you are!,You are beautiful.,You are beautiful.
我唔知我有無時間搞呢件事。,I don't know if I'll have time to do it.,I don't know if I have time for this.,I don't know if I have time for this.
你咁樣衰，整容都冇用㗎喇。,Even plastic surgery won't do anything for your ugliness.,"You're so bad, you've got to be good.","You're so bad, you don't use your makeup."
你面試面成點呀？,How did your interview go?,How did your interview go?,How was your interview?
你見工見成點呀？,How did your interview go?,How do you see the job?,How do you see the job?
我以為自己睇錯。,I can't believe my eyes.,I thought I was wrong.,I thought I was wrong.
你唔攰呀？,Are you not tired?,Are you crazy?,Are you crazy?
你哋唔攰呀？,Are you not tired?,Are you crazy?,Are you crazy?
你唔知佢兩年前瓜咗老襯咩？,Didn't you know that he passed away two years ago?,Do you know what happened to her two years ago?,Do you know how he lost his mind two years ago?
你支持定係反對戰爭呀？,Are you for the war or against it?,Are you for or against war?,Do you support or oppose war?
如果你勤力啲學習，係有希望通過考試嘅。,"If you study earnestly, you can expect to pass the exam.","If you study hard, you hope to pass the exam.","If you study hard, you hope to pass the exams."
你係時候買返架新車喇喎。,It's time for you to buy a new car.,It's time to buy back your new car horn.,It's time to buy your new car horn back.
你應該學吓控制自己嘅情緒。,You should learn to restrain yourself.,You should learn to control your emotions.,You should learn to control your emotions.
你自己做過嘅嘢，就要自己負返責任。,You should be responsible for your actions.,You're responsible for what you've done.,You're responsible for what you've done.
你終於成功搵到工喇！,You finally succeeded in getting a job.,You finally got a job!,You finally got a job!
你自己嘅錢，鍾意點使咪點使囉。,You are free to do as you please with your money.,"Your own money, your own way of making money.","Your own money, how do you like it?"
你抄書嗰陣抄漏咗一隻字喎。,You've left out a word in copying the textbook.,You miss a word when you copy a book.,You miss a word when you copy a book.
望咩呀望？,What are you looking at?,What are you looking at?,What are you looking at?
你望咩啫？,What are you looking at?,What are you looking at?,What are you looking at?
你應該努力啲讀書。,You should study harder.,You should study hard.,You should study hard.
你而家係大人嚟㗎喇，唔好再好似成個細路咁喇。,"Now that you are grown up, you must not behave like a child.","You're an adult now, so don't be a grown-up anymore.","You're an adult now, and you don't have to be a grown-up anymore."
你仲未洗手喎，係唔係呀？,"You haven't washed your hands yet, have you?","You haven't washed your hands, have you?","You haven't washed your hands, have you?"
你點解想買呢本書呀？,Why do you want to buy this book?,Why would you want to buy this book?,Why did you want to buy this book?
你要筆錢嚟做咩呀？,What do you need the money for?,What do you want to do with your money?,What do you want to do with your money?
你一定要諗清楚你想做啲點嘅工。,You must consider what kind of work you want to do.,You have to be clear about what you want to do.,You have to think about what you want to do.
你好似好攰咁喎。,You look very tired.,You look like a fool.,You look really stupid.
你點識佢㗎？,How did you come to know her?,How do you know her?,How do you know her?
你做咩講埋啲噉嘅嘢呀？,Why did you say such a thing?,What are you doing talking about that?,What are you talking about?
你俾咗邊個呀？,Who did you give it to?,To whom did you give it?,To whom did you give it?
